brightness,      y,      x, calibrated magnitude
5.027870e+04,   1983,   1977, 1.354654e+01
 40043,   2421,    970, 1.379368e+01
1.344442e+05,   1957,   1907, 1.247864e+01
3.445500e+03,   3500,   1424, 1.645687e+01
  4105,   2196,   1424, 1.626672e+01
1.366469e+05,   3338,   1723, 1.246100e+01
1.196014e+05,   2371,   1880, 1.260566e+01
5.489504e+04,   2887,   1171, 1.345117e+01
1.241756e+05,   1563,   1964, 1.256491e+01
1.208253e+05,    911,   1106, 1.259461e+01
3.236496e+04,   4012,   1476, 1.402481e+01
7.511700e+04,    295,    688, 1.311065e+01
3.562247e+04,   4095,    491, 1.392069e+01
3.401666e+04,   3356,   1792, 1.397077e+01
1.162468e+05,   1384,   2336, 1.263655e+01
3.371155e+04,   2699,   1867, 1.398055e+01
1.194167e+05,   1561,   2091, 1.260734e+01
3.421648e+04,   4071,   1367, 1.396441e+01
3.788805e+04,   1042,   1216, 1.385374e+01
4.372086e+04,   3178,    564, 1.369828e+01
2.591248e+05,   1937,   1074, 1.176623e+01
1.411250e+03,   3502,   1424, 1.742599e+01
3.468076e+04,   1681,   1398, 1.394978e+01
7.721351e+04,    758,   1013, 1.308077e+01
8.391496e+04,   2866,    901, 1.299040e+01
3.149126e+04,   2486,   1517, 1.405452e+01
4.330728e+04,    252,   2231, 1.370860e+01
5.707337e+04,   1500,   1581, 1.340892e+01
1.570907e+04,   2568,   1451, 1.480962e+01
5.446238e+03,   1774,   1423, 1.595976e+01
2.265346e+04,    395,   1422, 1.441216e+01
7.314386e+04,    462,   1800, 1.313956e+01
2.228546e+05,   3483,   1467, 1.192995e+01
3.137528e+04,   3133,    246, 1.405853e+01
9.090593e+04,   1105,    718, 1.290352e+01
3.944307e+04,   4285,   2126, 1.381007e+01
2.897660e+04,   2908,    976, 1.414488e+01
5.873716e+04,   2671,    829, 1.337772e+01
1.315862e+05,   3396,    909, 1.250197e+01
3.025194e+04,   1251,    405, 1.409812e+01
8.481534e+04,   3350,    689, 1.297881e+01
7.094106e+04,   3261,   1883, 1.317276e+01
1.761470e+05,    855,   1734, 1.218531e+01
4.793403e+04,   1011,   1178, 1.359839e+01
9.130463e+04,   2586,   1111, 1.289877e+01
5.223548e+04,   3225,    909, 1.350509e+01
7.133248e+04,    928,   1035, 1.316678e+01
4.167626e+04,   1291,   1873, 1.375028e+01
2.921377e+04,   2403,    872, 1.413603e+01
1.293591e+05,   2778,    614, 1.252051e+01
2.390766e+04,   4338,   1281, 1.435366e+01
6.327413e+04,   2958,   1334, 1.329693e+01
6.442751e+04,   2642,   2282, 1.327732e+01
6.209033e+04,   3856,    339, 1.331744e+01
1.449250e+03,   2198,   1424, 1.739714e+01
7.865000e+02,   1772,   1420, 1.806075e+01
2.795150e+04,    929,    577, 1.418399e+01
5.960281e+04,   2520,    443, 1.336183e+01
7.032095e+04,   3306,    608, 1.318229e+01
2.778869e+04,    611,   1823, 1.419033e+01
4.606549e+04,    981,   1993, 1.364156e+01
6.623584e+04,    835,   1336, 1.324727e+01
2.861873e+04,   3877,   1102, 1.415837e+01
   931,   3498,   1424, 1.787763e+01
5.260440e+04,   1012,   1957, 1.349744e+01
8.553205e+04,    472,   2114, 1.296968e+01
2.106138e+04,   3136,   2279, 1.449128e+01
2.590065e+04,   4073,   2140, 1.426672e+01
8.232004e+04,   3887,    458, 1.301124e+01
2.805823e+04,   1908,    549, 1.417985e+01
5.133993e+04,   2972,    373, 1.352386e+01
3.547988e+03,   1771,   1417, 1.642504e+01
  1710,   3501,   1422, 1.721751e+01
2.301581e+04,   1464,   1300, 1.439493e+01
7.103793e+04,   3147,   2114, 1.317127e+01
4.642231e+04,   2211,   2171, 1.363318e+01
2.360361e+04,   1636,   1042, 1.436755e+01
5.511031e+04,    383,    887, 1.344692e+01
2.598762e+04,   1252,    244, 1.426308e+01
2.900735e+04,    245,   1634, 1.414373e+01
5.372172e+04,   3694,   2071, 1.347463e+01
3.941785e+04,   4044,   2322, 1.381077e+01
3.768160e+04,   2662,   1263, 1.385968e+01
1.641236e+04,   4383,   2149, 1.476207e+01
2.588214e+04,    509,   1708, 1.426750e+01
   433,   1792,   1410, 1.870878e+01
1.684750e+03,   1790,   1407, 1.723366e+01
3.254772e+04,   3098,   2308, 1.401870e+01
   995,   1771,   1414, 1.780544e+01
6.050484e+04,   2947,   1240, 1.334552e+01
9.666880e+04,   1461,    213, 1.283678e+01
4.939623e+04,    794,   1354, 1.356577e+01
4.881174e+04,   3955,   1841, 1.357869e+01
6.255083e+04,   1793,   1413, 1.330942e+01
1.759630e+04,   3478,    575, 1.468645e+01
2.674591e+04,   4010,   1877, 1.423186e+01
2.169525e+04,    478,   1799, 1.445909e+01
2.948992e+04,   1453,    297, 1.412582e+01
6.451054e+04,   2675,    791, 1.327592e+01
3.242825e+04,   3089,    400, 1.402269e+01
1.002250e+03,   2194,   1424, 1.779756e+01
3.456416e+04,   1966,    600, 1.395343e+01
5.298238e+04,   1553,    497, 1.348967e+01
3.665765e+04,    712,   1873, 1.388959e+01
3.647431e+04,   2930,    691, 1.389503e+01
1.743250e+03,   3186,   1199, 1.719660e+01
3.588310e+04,   1225,    845, 1.391278e+01
3.573940e+04,   4193,   1107, 1.391713e+01
4.194324e+04,   1491,    506, 1.374334e+01
2.565189e+04,   3130,   1795, 1.427720e+01
2.957500e+02,   1771,   1412, 1.912269e+01
2.907052e+04,   1900,   1919, 1.414137e+01
1.356712e+04,   1961,   1835, 1.496878e+01
8.088258e+04,    695,    441, 1.303036e+01
3.957500e+02,   1772,   1410, 1.880645e+01
8.195000e+02,   3503,   1422, 1.801613e+01
3.408260e+04,   4300,   1607, 1.396867e+01
1.636375e+04,   3428,   2021, 1.476529e+01
5.925000e+02,   3499,   1422, 1.836828e+01
4.568658e+04,   1008,    449, 1.365053e+01
3.379721e+04,    694,   1323, 1.397780e+01
1.487500e+03,   1782,   1404, 1.736886e+01
1.591312e+04,   3730,   1332, 1.479561e+01
3.132934e+04,   1850,   1113, 1.406012e+01
5.066777e+03,   1771,   1422, 1.603817e+01
3.692360e+04,   1935,   2168, 1.388174e+01
1.511669e+04,   1491,   2202, 1.485136e+01
2.340594e+04,   3753,   2364, 1.437668e+01
5.455391e+04,   2654,    519, 1.345794e+01
2.667561e+04,   2874,    784, 1.423471e+01
2.724001e+04,   2094,   1957, 1.421198e+01
3.204404e+04,   2718,   2224, 1.403563e+01
2.557500e+02,   1780,   1404, 1.928046e+01
8.447500e+02,   3504,   1424, 1.798318e+01
1.743712e+04,    795,   1484, 1.469631e+01
   785,   1773,   1408, 1.806283e+01
3.625579e+04,   1145,    933, 1.390156e+01
2.573667e+04,   1614,    595, 1.427362e+01
4.490781e+04,   2268,   1197, 1.366920e+01
1.418651e+04,   1124,   1452, 1.492031e+01
5.559639e+04,   3966,   1919, 1.343738e+01
4.887570e+04,   1180,    744, 1.357727e+01
1.461925e+04,   4280,    921, 1.488769e+01
3.555345e+04,   2222,    364, 1.392280e+01
2.720357e+04,   2985,    474, 1.421344e+01
1.990131e+04,   2361,   1171, 1.455280e+01
8.382500e+02,   1777,   1405, 1.799157e+01
4.585547e+04,    565,   1576, 1.364652e+01
5.845532e+04,   2227,    724, 1.338294e+01
4.298322e+04,   4319,    478, 1.371675e+01
2.057668e+04,   3282,    890, 1.451656e+01
4.920129e+04,   2182,   2130, 1.357006e+01
1.953625e+04,    204,   2246, 1.457290e+01
2.906383e+04,   2812,    986, 1.414162e+01
2.211588e+04,   2758,   1952, 1.443824e+01
2.997995e+04,    375,   1031, 1.410792e+01
6.725000e+02,   1775,   1406, 1.823077e+01
4.548471e+04,   1778,   1560, 1.365534e+01
3.194738e+04,   2853,    903, 1.403891e+01
1.439481e+04,   3172,   2279, 1.490448e+01
 16200,   1350,   1468, 1.477621e+01
1.872725e+04,   3507,   2290, 1.461881e+01
4.352500e+02,   1784,   1403, 1.870315e+01
3.181671e+04,    716,    215, 1.404336e+01
6.837500e+02,   3188,   1199, 1.821276e+01
7.162500e+02,   1769,   1414, 1.816234e+01
5.434466e+04,   2117,   1802, 1.346211e+01
4.539787e+04,   2797,   1120, 1.365741e+01
2.918396e+04,   1674,   1162, 1.413714e+01
4.608305e+04,   3586,   1576, 1.364115e+01
1.501225e+04,   1675,   1627, 1.485889e+01
2.718837e+04,    509,    698, 1.421404e+01
1.501142e+04,   1992,    952, 1.485895e+01
1.803087e+04,    996,   2062, 1.465996e+01
3.367091e+04,   1523,    512, 1.398186e+01
1.837530e+04,   2893,   1153, 1.463941e+01
7.865351e+04,    761,    281, 1.306070e+01
3.171431e+04,   1638,    819, 1.404686e+01
