brightness,      y,      x
  3487,   2861,   1704
  3487,   3212,   1713
  3487,   2561,   1770
  3487,   2537,   1855
  3487,   2519,   1897
  3487,   2520,   1897
  3487,   1574,   1934
  3487,   2163,   2032
  3487,    759,   2064
  3487,   1962,   2098
  3487,   3153,   2114
  3487,   4352,   2115
  3487,   2229,   2174
  3487,   4097,   2187
  3487,   1917,   2191
  3487,   3280,   2216
  3487,   3293,   2217
  3487,   3277,   2218
  3487,   3280,   2219
  3487,   1287,   2272
  3487,   3324,   2292
  3487,   1628,   2369
  3486,    652,    202
  3486,    353,    207
  3486,    648,    210
  3486,    864,    218
  3486,   4408,    236
  3486,   3492,    264
  3486,    755,    270
  3486,    474,    276
  3486,    625,    297
  3486,   2261,    343
  3486,   2444,    374
  3486,   1741,    403
  3486,   2928,    406
  3486,   1781,    428
  3486,   2449,    444
  3486,   2986,    468
  3486,   4055,    480
  3486,   2451,    504
  3486,   1190,    512
  3486,   4117,    580
  3486,   4116,    581
  3486,   2373,    598
  3486,   1571,    628
  3486,   3582,    643
  3486,    347,    659
  3486,   2702,    707
  3486,   2709,    710
  3486,   2935,    770
  3486,   2868,    784
  3486,   2366,    789
  3486,   3698,    833
  3486,   4393,    836
  3486,   1331,    852
  3486,   3810,    855
  3486,   2788,    897
  3486,   1085,    912
  3486,   3387,    916
  3486,   3410,    928
  3486,   2766,    936
  3486,   2769,    936
  3486,    429,    949
  3486,   2597,    965
  3486,   2228,    973
  3486,   2429,    980
  3486,   2496,    996
  3486,    736,    997
  3486,   2817,    997
  3486,   3727,   1029
  3486,   2691,   1055
  3486,   3330,   1070
  3486,   1005,   1090
  3486,   1114,   1108
  3486,   3410,   1142
  3486,   3144,   1150
  3486,   2360,   1165
  3486,   2626,   1170
  3486,   3335,   1188
  3486,   3043,   1189
  3486,   3200,   1193
  3486,   3268,   1194
  3486,   4185,   1201
  3486,   3319,   1203
  3486,   3370,   1228
  3486,   3071,   1232
  3486,   3536,   1237
  3486,   3024,   1240
  3486,   3068,   1240
  3486,   3364,   1247
  3486,   1057,   1251
  3486,   3028,   1266
  3486,   3029,   1267
  3486,   4349,   1280
  3486,   4371,   1288
  3486,   3425,   1296
  3486,   3003,   1297
  3486,    484,   1299
  3486,   3434,   1315
  3486,   2752,   1316
  3486,   2962,   1323
  3486,   3425,   1327
  3486,   2988,   1331
  3486,   4348,   1337
  3486,   2974,   1338
  3486,   2978,   1349
  3486,   2955,   1387
  3486,   1292,   1397
  3486,   3456,   1410
  3486,    296,   1411
  3486,   4397,   1415
  3486,   4398,   1416
  3486,   2946,   1422
  3486,   2960,   1452
  3486,   2952,   1464
  3486,   3449,   1464
  3486,   3487,   1481
  3486,   2944,   1496
  3486,   3442,   1514
  3486,   3531,   1514
  3486,   2473,   1522
  3486,   3441,   1536
  3486,   3438,   1539
  3486,   3899,   1574
  3486,   3410,   1582
  3486,   3582,   1589
  3486,   3397,   1595
  3486,   1789,   1649
  3486,   2848,   1655
  3486,   3328,   1660
  3486,   1420,   1670
  3486,   2855,   1674
  3486,   2500,   1679
  3486,   3196,   1687
  3486,   3234,   1689
  3486,   3513,   1721
  3486,   1271,   1741
  3486,   3245,   1826
  3486,   3953,   1847
  3486,    871,   1880
  3486,   3962,   1888
  3486,   1417,   1920
  3486,   1526,   1946
  3486,   2763,   1947
  3486,   1566,   1975
  3486,   3160,   2059
  3486,   1701,   2073
  3486,   4397,   2076
  3486,   2451,   2097
  3486,   2321,   2108
  3486,   1642,   2123
  3486,   4279,   2126
  3486,   1048,   2133
  3486,   4331,   2171
  3486,   4332,   2172
  3486,   2524,   2188
  3486,   3104,   2310
  3486,   2287,   2319
  3486,   2289,   2321
  3486,   1352,   2349
  3486,   3294,   2365
  3485,    343,    205
  3485,    328,    222
  3485,    353,    223
  3485,    778,    225
  3485,    831,    227
  3485,   1454,    231
  3485,   4025,    241
  3485,   4348,    255
  3485,    509,    263
  3485,   3047,    316
  3485,   3492,    353
  3485,   1501,    402
  3485,    758,    468
  3485,   2063,    485
  3485,   3930,    508
  3485,   1457,    554
  3485,   1458,    554
  3485,   1847,    571
  3485,   2776,    603
  3485,   2789,    618
  3485,    288,    683
  3485,   2269,    688
  3485,   1730,    713
  3485,   3357,    715
  3485,   3356,    717
  3485,   1093,    719
  3485,   1057,    794
  3485,    879,    796
  3485,   1678,    801
  3485,   3475,    853
  3485,   1898,    868
  3485,   2298,    868
  3485,   3870,    869
  3485,   2288,    871
  3485,   3223,    872
  3485,   3224,    873
  3485,   3230,    904
  3485,   3889,    927
  3485,   3227,    932
  3485,   1174,    935
  3485,   2580,    943
  3485,   2579,    944
  3485,   2944,    947
  3485,    824,    950
  3485,    824,    952
  3485,   2738,    954
  3485,   2903,    972
  3485,   3713,    977
  3485,   3017,    984
  3485,   2186,   1007
  3485,   2766,   1022
  3485,   1635,   1036
  3485,   1920,   1081
  3485,   3037,   1089
  3485,   3584,   1116
  3485,   3426,   1182
  3485,   3250,   1185
  3485,   3137,   1187
  3485,   3268,   1188
  3485,   3228,   1190
  3485,   2480,   1194
  3485,   3162,   1201
  3485,   3159,   1203
  3485,   3122,   1204
  3485,   1391,   1209
  3485,   3307,   1220
  3485,   3072,   1223
  3485,   3091,   1223
  3485,   3323,   1225
  3485,   3341,   1231
  3485,   3447,   1236
  3485,   3421,   1248
  3485,   3378,   1254
  3485,   2666,   1258
  3485,    248,   1270
  3485,   3408,   1280
  3485,    514,   1293
  3485,   3408,   1294
  3485,   1715,   1311
  3485,   3447,   1321
  3485,   2789,   1322
  3485,   3540,   1361
  3485,   1127,   1363
  3485,   3450,   1378
  3485,   2097,   1380
  3485,   3476,   1419
  3485,   1556,   1424
  3485,   2953,   1451
  3485,    679,   1460
  3485,   3765,   1467
  3485,   3767,   1467
  3485,   3492,   1490
  3485,   2895,   1494
  3485,   3471,   1498
  3485,   3431,   1537
  3485,   3437,   1553
  3485,   3435,   1554
  3485,   3402,   1589
  3485,   3402,   1610
  3485,   3448,   1617
  3485,   3541,   1620
  3485,   3015,   1644
  3485,   3432,   1657
  3485,   3517,   1657
  3485,   3055,   1664
  3485,   1140,   1672
  3485,   1553,   1676
  3485,   1554,   1676
  3485,   3245,   1684
  3485,   3174,   1689
  3485,   3157,   1690
  3485,   3330,   1708
  3485,   3176,   1715
  3485,   3222,   1721
  3485,   2603,   1733
  3485,   2970,   1759
  3485,   1831,   1768
  3485,    276,   1805
  3485,   3210,   1848
  3485,   1570,   1945
  3485,   3025,   2027
  3485,   3658,   2032
  3485,   4127,   2043
  3485,    465,   2055
  3485,   1313,   2075
  3485,    746,   2112
  3485,    501,   2114
  3485,   1923,   2156
  3485,   1404,   2186
  3485,   2873,   2191
  3485,   3306,   2213
  3485,   4247,   2257
  3485,   1365,   2295
  3485,   3468,   2343
  3485,   1362,   2367
  3484,   1594,    201
  3484,    236,    203
  3484,   2040,    211
  3484,    509,    220
  3484,    357,    235
  3484,   4359,    265
  3484,   2769,    292
  3484,   2430,    331
  3484,   2417,    354
  3484,   2418,    355
  3484,   3579,    387
  3484,   1954,    423
  3484,    489,    436
  3484,   3055,    497
  3484,    555,    499
  3484,   1303,    515
  3484,   3612,    518
  3484,   2625,    573
  3484,   3347,    579
  3484,   4326,    589
  3484,   3420,    616
  3484,   1958,    625
  3484,   3586,    637
  3484,   2427,    653
  3484,   2748,    655
  3484,   4410,    657
  3484,   2358,    688
  3484,    514,    694
  3484,   2140,    696
  3484,    324,    735
  3484,   3739,    753
  3484,   2515,    771
  3484,   2380,    807
  3484,   1130,    828
  3484,   3377,    841
  3484,    882,    844
  3484,   1649,    846
  3484,   3195,    851
  3484,   2549,    858
  3484,    313,    877
  3484,   2908,    901
  3484,   1612,    911
  3484,   2961,    935
  3484,   2305,    938
  3484,   1813,    969
  3484,   2705,    999
  3484,   1142,   1012
  3484,   3262,   1033
  3484,   1996,   1043
  3484,   2908,   1075
  3484,    923,   1100
  3484,   3877,   1108
  3484,   3250,   1179
  3484,   1006,   1183
  3484,   3084,   1185
  3484,   3155,   1187
  3484,   3019,   1189
  3484,   3634,   1189
  3484,   3147,   1193
  3484,   3155,   1195
  3484,   3259,   1197
  3484,   3285,   1197
  3484,   3984,   1197
  3484,   1307,   1199
  3484,   3294,   1199
  3484,   3298,   1207
  3484,   3471,   1207
  3484,   3301,   1209
  3484,   1048,   1216
  3484,   3008,   1216
  3484,   2788,   1222
  3484,   3038,   1222
  3484,   3369,   1240
  3484,   3380,   1242
  3484,   3459,   1257
  3484,   3406,   1269
  3484,   3410,   1273
  3484,   3006,   1275
  3484,   1877,   1287
  3484,   3460,   1288
  3484,   3436,   1305
  3484,   3450,   1331
  3484,   2638,   1341
  3484,   2823,   1351
  3484,   2490,   1353
  3484,   2710,   1356
  3484,   3482,   1362
  3484,   3436,   1363
  3484,   2969,   1371
  3484,   3457,   1376
  3484,   3462,   1381
  3484,   3796,   1408
  3484,    389,   1417
  3484,   2940,   1472
  3484,   3694,   1497
  3484,   3695,   1497
  3484,   2972,   1516
  3484,   2552,   1531
  3484,   1253,   1536
  3484,   3505,   1541
  3484,   3423,   1564
  3484,   3932,   1576
  3484,   3456,   1586
  3484,   2833,   1603
  3484,   3828,   1606
  3484,   3030,   1629
  3484,    239,   1634
  3484,   2842,   1645
  3484,   3342,   1648
  3484,   3356,   1648
  3484,   3363,   1654
  3484,   3439,   1661
  3484,   3313,   1669
  3484,   3108,   1673
  3484,   3312,   1673
  3484,   3257,   1683
  3484,    381,   1690
  3484,   3068,   1692
  3484,   3268,   1713
  3484,   2198,   1728
  3484,    571,   1758
  3484,   3371,   1766
  3484,    277,   1793
  3484,   3505,   1821
  3484,   3262,   1844
  3484,    360,   1953
  3484,   2866,   1958
  3484,   2797,   1980
  3484,   3624,   2028
  3484,    793,   2033
  3484,   3918,   2174
  3484,   3090,   2221
  3484,   3310,   2225
  3484,   2716,   2230
  3484,    928,   2235
  3484,   1115,   2248
  3484,   1461,   2262
  3484,   2639,   2275
  3484,   2516,   2296
  3484,   4160,   2299
  3484,   2003,   2347
  3484,    576,   2351
  3484,   4130,   2368
  3483,    269,    203
  3483,    225,    207
  3483,    375,    224
  3483,   4257,    258
  3483,   4385,    273
  3483,   2787,    285
  3483,    206,    311
  3483,    871,    327
  3483,   3580,    363
  3483,   3604,    378
  3483,    224,    486
  3483,   3931,    496
  3483,   3905,    502
  3483,   3942,    510
  3483,   2819,    522
  3483,   1906,    543
  3483,   3845,    597
  3483,   2960,    646
  3483,   1106,    651
  3483,   3321,    674
  3483,   1776,    675
  3483,    298,    700
  3483,   1006,    703
  3483,   3041,    707
  3483,   3040,    709
  3483,   2880,    786
  3483,   1255,    794
  3483,   2151,    798
  3483,   1501,    838
  3483,   2304,    875
  3483,    377,    892
  3483,   3376,    913
  3483,   2255,    928
  3483,   2256,    928
  3483,   1151,    932
  3483,   3832,    932
  3483,   2742,    942
  3483,   2250,    943
  3483,   1188,    950
  3483,   2737,    962
  3483,   2814,    967
  3483,    207,   1004
  3483,    764,   1006
  3483,   2771,   1014
  3483,   2781,   1014
  3483,    497,   1026
  3483,    473,   1048
  3483,   1819,   1057
  3483,   3742,   1128
  3483,   3054,   1131
  3483,   3055,   1131
  3483,   3218,   1157
  3483,   3281,   1168
  3483,   3136,   1174
  3483,   3237,   1185
  3483,   3127,   1199
  3483,   2048,   1204
  3483,   2895,   1205
  3483,   3135,   1207
  3483,   3273,   1208
  3483,   3130,   1209
  3483,   3306,   1214
  3483,   3097,   1217
  3483,   3353,   1223
  3483,   3563,   1227
  3483,   3493,   1239
  3483,    405,   1242
  3483,   3063,   1244
  3483,   3023,   1246
  3483,   3006,   1250
  3483,    765,   1255
  3483,   3013,   1267
  3483,   1263,   1292
  3483,   2691,   1305
  3483,   3654,   1318
  3483,   1893,   1337
  3483,   3442,   1341
  3483,   4320,   1355
  3483,   2684,   1358
  3483,   3511,   1361
  3483,   3512,   1363
  3483,   2574,   1389
  3483,   3505,   1389
  3483,   2964,   1390
  3483,   3467,   1395
  3483,   3456,   1401
  3483,   4137,   1402
  3483,   2956,   1403
  3483,   3471,   1411
  3483,   1768,   1455
  3483,   2944,   1462
  3483,    299,   1486
  3483,   3524,   1489
  3483,   3460,   1511
  3483,   2953,   1516
  3483,   2492,   1519
  3483,   3470,   1527
  3483,   4064,   1529
  3483,   3424,   1581
  3483,    668,   1587
  3483,   3732,   1587
  3483,    669,   1588
  3483,   3398,   1604
  3483,   3396,   1610
  3483,   3430,   1612
  3483,    438,   1619
  3483,   4331,   1621
  3483,   2330,   1631
  3483,   3372,   1636
  3483,   4310,   1648
  3483,    522,   1651
  3483,   3346,   1654
  3483,   3561,   1666
  3483,   3114,   1684
  3483,   3300,   1694
  3483,   3203,   1696
  3483,   3207,   1709
  3483,   2926,   1762
  3483,   3993,   1801
  3483,   4213,   1837
  3483,    487,   1908
  3483,    487,   1909
  3483,   1650,   1921
  3483,   2743,   1950
  3483,   2744,   1951
  3483,   2095,   1963
  3483,   2096,   1963
  3483,   2741,   1969
  3483,   4171,   1974
  3483,   2467,   2002
  3483,   2275,   2032
  3483,   1799,   2043
  3483,   1507,   2052
  3483,   1434,   2065
  3483,   1434,   2066
  3483,   2915,   2085
  3483,   3772,   2105
  3483,   4344,   2105
  3483,    758,   2110
  3483,   2330,   2115
  3483,   3750,   2165
  3483,   1595,   2179
  3483,   2553,   2221
  3483,   2754,   2227
  3483,   3253,   2243
  3483,   3755,   2247
  3483,    484,   2272
  3483,   4011,   2274
  3483,   3574,   2285
  3483,   2633,   2290
  3483,   3843,   2296
  3483,   4043,   2328
  3483,   2300,   2352
  3482,   1582,    201
  3482,    864,    211
  3482,    939,    222
  3482,    356,    229
  3482,   1713,    230
  3482,   1397,    244
  3482,   4397,    248
  3482,    244,    258
  3482,   3485,    262
  3482,   4382,    267
  3482,   3480,    270
  3482,   3492,    270
  3482,   2437,    276
  3482,    206,    278
  3482,    205,    279
  3482,   2817,    368
  3482,   3157,    406
  3482,    506,    444
  3482,    865,    501
  3482,   3907,    526
  3482,   2916,    556
  3482,   3261,    556
  3482,   1175,    557
  3482,   2917,    559
  3482,   3368,    581
  3482,   4410,    601
  3482,   1490,    618
  3482,   1940,    659
  3482,   1739,    673
  3482,   3356,    681
  3482,    201,    695
  3482,   1305,    736
  3482,   1307,    738
  3482,   3354,    740
  3482,   1044,    758
  3482,    729,    775
  3482,   2366,    801
  3482,   3362,    819
  3482,   2809,    826
  3482,   2810,    827
  3482,   1171,    839
  3482,   2665,    859
  3482,   2665,    860
  3482,   3162,    862
  3482,   2274,    871
  3482,   3279,    874
  3482,   4254,    910
  3482,   2952,    922
  3482,   2196,    924
  3482,   2197,    924
  3482,   2317,    927
  3482,   3368,    932
  3482,   2338,    946
  3482,    206,    968
  3482,   2913,    980
  3482,   2906,    982
  3482,   1659,    983
  3482,   2736,    990
  3482,   3140,    998
  3482,    655,   1003
  3482,   3470,   1004
  3482,   3471,   1004
  3482,    490,   1024
  3482,   2187,   1045
  3482,    519,   1057
  3482,   3317,   1059
  3482,   1317,   1113
  3482,   1694,   1129
  3482,   1695,   1129
  3482,   2046,   1159
  3482,   1673,   1168
  3482,   3282,   1174
  3482,   3410,   1180
  3482,   3262,   1184
  3482,   3215,   1189
  3482,   3216,   1189
  3482,   3094,   1190
  3482,   3277,   1190
  3482,   3078,   1191
  3482,   3217,   1192
  3482,   3254,   1192
  3482,   3072,   1193
  3482,   3895,   1199
  3482,   3310,   1200
  3482,    262,   1204
  3482,   3447,   1206
  3482,   3312,   1208
  3482,   1459,   1212
  3482,   3105,   1218
  3482,   3106,   1218
  3482,   3442,   1222
  3482,   1603,   1223
  3482,   3365,   1223
  3482,   3086,   1227
  3482,   3353,   1229
  3482,   2955,   1230
  3482,   3049,   1230
  3482,   3326,   1231
  3482,   3036,   1236
  3482,   3403,   1238
  3482,   3405,   1238
  3482,   3358,   1242
  3482,   3461,   1250
  3482,   2851,   1274
  3482,   3013,   1285
  3482,   3405,   1287
  3482,   4403,   1296
  3482,   2671,   1339
  3482,   2949,   1344
  3482,   2944,   1347
  3482,   1682,   1348
  3482,   2937,   1348
  3482,   2949,   1349
  3482,   2966,   1356
  3482,   3436,   1357
  3482,   2927,   1366
  3482,   4314,   1366
  3482,   2958,   1373
  3482,   3492,   1374
  3482,    962,   1382
  3482,   3453,   1385
  3482,   1769,   1393
  3482,   2952,   1395
  3482,   3495,   1411
  3482,   2038,   1419
  3482,   4053,   1470
  3482,   2883,   1498
  3482,   2879,   1500
  3482,   4190,   1515
  3482,   3471,   1516
  3482,   2953,   1524
  3482,   3463,   1526
  3482,   2858,   1527
  3482,   3558,   1570
  3482,   3493,   1590
  3482,   3440,   1597
  3482,    453,   1605
  3482,   3426,   1606
  3482,   3428,   1606
  3482,   3420,   1641
  3482,   1100,   1644
  3482,   3370,   1648
  3482,   3426,   1648
  3482,    504,   1662
  3482,   3306,   1667
  3482,   3060,   1668
  3482,   3265,   1683
  3482,   3304,   1683
  3482,   1553,   1688
  3482,   3202,   1688
  3482,   3188,   1689
  3482,   4213,   1695
  3482,   4214,   1695
  3482,   3213,   1697
  3482,   3258,   1700
  3482,   3503,   1710
  3482,   3664,   1729
  3482,   3313,   1733
  3482,    296,   1786
  3482,   2952,   1820
  3482,   2760,   1838
  3482,   3975,   1840
  3482,   3057,   1847
  3482,   2842,   1888
  3482,   1894,   1920
  3482,   3302,   1920
  3482,   1653,   1944
  3482,   2722,   1958
  3482,    378,   1983
  3482,   2818,   2016
  3482,   2530,   2036
  3482,   2568,   2058
  3482,   3750,   2105
  3482,   1830,   2120
  3482,   1451,   2122
  3482,   4400,   2152
  3482,   3241,   2170
  3482,   2884,   2188
  3482,   2574,   2189
  3482,   3278,   2209
  3482,   3182,   2219
  3482,   1722,   2238
  3482,   3261,   2282
  3482,   3338,   2290
  3482,   3329,   2302
  3482,   2296,   2307
  3482,    499,   2312
  3482,   3315,   2319
  3482,   3204,   2323
  3482,    756,   2353
  3482,    578,   2359
  3481,   2235,    218
  3481,    709,    220
  3481,   4249,    223
  3481,    840,    234
  3481,    261,    237
  3481,   3177,    239
  3481,   2922,    243
  3481,   1251,    250
  3481,   4219,    342
  3481,   3412,    343
  3481,    926,    381
  3481,   3717,    394
  3481,    895,    399
  3481,   4074,    455
  3481,   1631,    462
  3481,   1776,    493
  3481,   1558,    503
  3481,   3529,    521
  3481,   2465,    527
  3481,   4314,    537
  3481,    370,    585
  3481,   3015,    596
  3481,   2971,    615
  3481,   2635,    617
  3481,   3366,    622
  3481,   1337,    634
  3481,   3450,    654
  3481,   1921,    676
  3481,   3350,    677
  3481,   3986,    690
  3481,   1932,    695
  3481,   1933,    695
  3481,   2252,    718
  3481,   2069,    758
  3481,   2560,    789
  3481,   2386,    810
  3481,   3320,    836
  3481,   3309,    852
  3481,   3434,    852
  3481,   3374,    877
  3481,   2889,    892
  3481,    369,    925
  3481,   2779,    936
  3481,   2758,    939
  3481,   2291,    943
  3481,   4058,    972
  3481,   2824,    989
  3481,    789,    995
  3481,    523,    997
  3481,   3027,   1005
  3481,   3236,   1066
  3481,   1927,   1098
  3481,   1926,   1100
  3481,   4226,   1106
  3481,    653,   1117
  3481,    473,   1133
  3481,   2894,   1147
  3481,   3166,   1152
  3481,    260,   1153
  3481,    260,   1154
  3481,   3247,   1154
  3481,   3336,   1164
  3481,   3252,   1169
  3481,   3185,   1172
  3481,   3199,   1180
  3481,   2966,   1181
  3481,   3270,   1181
  3481,   3206,   1184
  3481,   2969,   1185
  3481,   2967,   1186
  3481,   3112,   1199
  3481,   3168,   1199
  3481,   3301,   1199
  3481,   3334,   1201
  3481,   3246,   1202
  3481,   3143,   1206
  3481,    799,   1207
  3481,   3330,   1215
  3481,   1043,   1222
  3481,   1440,   1228
  3481,   3018,   1238
  3481,   3018,   1239
  3481,   3377,   1248
  3481,   3729,   1260
  3481,   2167,   1263
  3481,   3390,   1274
  3481,   2980,   1302
  3481,   3438,   1322
  3481,   4335,   1324
  3481,   4335,   1325
  3481,   3432,   1333
  3481,   3536,   1335
  3481,    566,   1336
  3481,   2655,   1355
  3481,   2933,   1365
  3481,    579,   1371
  3481,   4337,   1384
  3481,    418,   1385
  3481,   2939,   1388
  3481,   3510,   1394
  3481,   2666,   1398
  3481,   1686,   1402
  3481,   1685,   1403
  3481,   3465,   1407
  3481,   1124,   1458
  3481,   3495,   1471
  3481,   4047,   1477
  3481,   4025,   1480
  3481,   1129,   1481
  3481,    569,   1494
  3481,   3451,   1509
  3481,   2941,   1518
  3481,   3561,   1520
  3481,   3450,   1551
  3481,   2990,   1565
  3481,   4054,   1569
  3481,   4055,   1570
  3481,    465,   1579
  3481,   3500,   1580
  3481,   3435,   1585
  3481,   3395,   1623
  3481,   1377,   1639
  3481,   3004,   1644
  3481,   3025,   1654
  3481,   3336,   1659
  3481,   3340,   1662
  3481,   3322,   1666
  3481,   3297,   1685
  3481,   3261,   1688
  3481,   3263,   1689
  3481,   3245,   1696
  3481,   2548,   1713
  3481,   1757,   1738
  3481,   3378,   1763
  3481,   3389,   1778
  3481,   2110,   1807
  3481,   1647,   1816
  3481,    273,   1877
  3481,   3336,   1899
  3481,   1553,   1955
  3481,   3148,   2040
  3481,    990,   2061
  3481,   1451,   2079
  3481,    499,   2102
  3481,    501,   2102
  3481,   2310,   2105
  3481,   3151,   2108
  3481,   3154,   2120
  3481,   3730,   2121
  3481,   3732,   2161
  3481,    262,   2192
  3481,   3299,   2214
  3481,   3513,   2214
  3481,   3302,   2223
  3481,   3317,   2224
  3481,   1968,   2247
  3481,   3260,   2259
  3481,   3053,   2295
  3481,   2115,   2309
  3481,   3072,   2310
  3481,   3153,   2339
  3481,   1358,   2351
  3481,   3554,   2355
  3481,   3759,   2366
  3480,    218,    212
  3480,    473,    218
  3480,   3420,    220
  3480,   3164,    227
  3480,    834,    235
  3480,   1544,    241
  3480,    833,    242
  3480,    258,    254
  3480,    822,    264
  3480,    327,    272
  3480,    750,    274
  3480,    758,    293
  3480,   3317,    296
  3480,    201,    303
  3480,   1055,    328
  3480,   1441,    345
  3480,   2447,    350
  3480,   2633,    374
  3480,    709,    403
  3480,    494,    444
  3480,   2284,    449
  3480,   1426,    467
  3480,   2603,    496
  3480,   1531,    508
  3480,   4202,    517
  3480,    265,    524
  3480,   2953,    560
  3480,   4124,    561
  3480,   2267,    599
  3480,    683,    620
  3480,   1514,    636
  3480,   2795,    640
  3480,   2568,    647
  3480,   3479,    661
  3480,   1713,    672
  3480,   1649,    678
  3480,   1650,    679
  3480,   2934,    697
  3480,   3360,    708
  3480,   3796,    743
  3480,   1230,    764
  3480,    336,    778
  3480,   3256,    779
  3480,   3363,    807
  3480,   1632,    814
  3480,   3530,    814
  3480,   3012,    837
  3480,   3952,    846
  3480,   1153,    852
  3480,   2319,    892
  3480,   3437,    897
  3480,   1177,    947
  3480,   2298,    950
  3480,   2819,    953
  3480,   2810,    960
  3480,    787,    977
  3480,    201,    990
  3480,   3867,   1000
  3480,    634,   1011
  3480,   2749,   1011
  3480,   3278,   1020
  3480,   3282,   1059
  3480,   3645,   1081
  3480,   3146,   1088
  3480,   3344,   1093
  3480,   1004,   1102
  3480,   1850,   1119
  3480,   1196,   1131
  3480,   2680,   1143
  3480,   2691,   1146
  3480,   2958,   1146
  3480,   1512,   1148
  3480,   3191,   1154
  3480,   2439,   1164
  3480,    236,   1166
  3480,    868,   1172
  3480,   3191,   1178
  3480,   2724,   1180
  3480,   3177,   1184
  3480,   3277,   1196
  3480,   2252,   1197
  3480,   3076,   1206
  3480,   3061,   1210
  3480,   2882,   1214
  3480,   3337,   1218
  3480,   3012,   1225
  3480,   3014,   1226
  3480,   3065,   1226
  3480,   3422,   1227
  3480,    219,   1238
  3480,   1707,   1244
  3480,   1050,   1246
  3480,   3039,   1251
  3480,   3465,   1258
  3480,   2824,   1261
  3480,   2795,   1273
  3480,    517,   1285
  3480,   1772,   1292
  3480,   2974,   1305
  3480,   3597,   1307
  3480,   3531,   1341
  3480,   3453,   1356
  3480,   2955,   1358
  3480,   3448,   1366
  3480,   3475,   1376
  3480,   3484,   1383
  3480,   3508,   1407
  3480,   3466,   1416
  3480,   3477,   1425
  3480,   1670,   1428
  3480,   1671,   1428
  3480,    806,   1429
  3480,   3962,   1445
  3480,   2126,   1448
  3480,   2740,   1448
  3480,    214,   1450
  3480,   3485,   1450
  3480,   2562,   1457
  3480,   2946,   1471
  3480,   3524,   1473
  3480,   1086,   1475
  3480,   1087,   1475
  3480,   2946,   1475
  3480,   3595,   1481
  3480,   3450,   1518
  3480,   3438,   1530
  3480,   2977,   1531
  3480,   2955,   1541
  3480,   2048,   1547
  3480,   3460,   1551
  3480,   2971,   1557
  3480,   3463,   1561
  3480,   3666,   1561
  3480,   3550,   1565
  3480,   3442,   1589
  3480,   3408,   1597
  3480,   3434,   1597
  3480,   3019,   1601
  3480,   3422,   1611
  3480,   3421,   1615
  3480,   3427,   1624
  3480,    849,   1632
  3480,   3362,   1637
  3480,   1349,   1647
  3480,   2998,   1659
  3480,   3529,   1659
  3480,   3319,   1660
  3480,   2005,   1669
  3480,   3305,   1676
  3480,   3144,   1680
  3480,   3290,   1687
  3480,   3217,   1688
  3480,   3166,   1699
  3480,   3208,   1702
  3480,   3189,   1714
  3480,   4174,   1728
  3480,   2586,   1747
  3480,   3916,   1759
  3480,   3243,   1791
  3480,   3124,   1794
  3480,   3737,   1813
  3480,    612,   1817
  3480,   1965,   1829
  3480,   2973,   1833
  3480,   2558,   1855
  3480,    837,   1856
  3480,   3039,   1858
  3480,   3390,   1861
  3480,   1285,   1872
  3480,   3052,   1873
  3480,   1951,   1915
  3480,   3207,   1929
  3480,   3663,   1931
  3480,   2396,   1939
  3480,   2160,   1958
  3480,    281,   1965
  3480,   2082,   1967
  3480,   3676,   1976
  3480,   3348,   1978
  3480,   3153,   2034
  3480,   1002,   2060
  3480,   1300,   2080
  3480,   1453,   2085
  3480,   1402,   2105
  3480,    461,   2112
  3480,   2338,   2132
  3480,   3802,   2134
  3480,   2002,   2183
  3480,   1244,   2191
  3480,   3304,   2193
  3480,   4200,   2218
  3480,   3260,   2246
  3480,   3332,   2274
  3480,   3177,   2275
  3480,   3331,   2282
  3480,   3336,   2282
  3480,   3201,   2294
  3480,   3321,   2300
  3480,   3927,   2300
  3480,   3298,   2302
  3480,   3323,   2306
  3480,   3317,   2307
  3480,   3297,   2309
  3480,    847,   2350
  3480,    454,   2353
  3480,    452,   2355
  3480,   3055,   2361
  3480,   1688,   2362
  3480,   2308,   2369
